Pali Canon,Cânone Pālī
Upāsaka,Upāsaka
Upasama,Upasama
upekkhā,Upekkhā
Upekkhā,Upekkhā
upekkhā pāramī,Upekkhā Pāramī
upekkhā vedanā,Upekkhā Vedanā
uppāda,Uppāda
Uppāda,Uppāda
uppatti bhava,Uppatti Bhava
utuja rūpa,Utuja Rūpa
vacī dvāra,Vacī Dvāra
vacī saṅvara,Vacī Saṅvara
vacīsaṅkhāra,Vacīsaṅkhāra
Vassa,Vassa
vatthu,Vatthu
Vatthu,Vatthu
vāyāma,Vāyāma
Vāyāma,Vāyāma
vāyo dhātu,Vāyo Dhātu
vedanā,Vedanā
Vedanā,Vedanā
vedanā paccayā taṇhā,Vedanā Paccayā Taṇhā
vedanākkhandha,Vedanākkhandha
vedanānupassanā,Vedanānupassanā
vedanāya,vedanāya
vibhavataṇhā,Vibhavataṇhā
vicara,Vicāra
Vicara,Vicāra
vicāra,Vicāra
vicikicchā,Vicikicchā
viharāhi,viharāhi
vimokkha,Vimokkha
vimutti,Vimutti
Vimutti,Vimutti
Vinaya,Vinaya
vineyya,vineyya
viññāṇa,Viññāṇa
Viññāṇa,Viññāṇa
viññāṇa dhātu,Viññāṇa Dhātu
viññāṇakkhandha,Viññāṇakkhandha
viññāṇaṃ,viññāṇaṃ
viññāṇañcāyatana,Viññāṇañcāyatana
viññāṇassa,viññāṇassa
viññāṇe,viññāṇe
vipāka,Vipāka
Vipāka,Vipāka
vipāka citta,Vipāka Citta
vipallāsa,Vipallāsa
Vipallāsa,Vipallāsa
vipassanā,Vipassanā
Vipassanā,Vipassanā
vipassanā bhāvanā,Vipassanā Bhāvanā
Vippayutta,Vippayutta
virāga,Virāga
Virāga,Virāga
viriya,Viriya
Viriya,Viriya
Visuddhi,Visuddhi
vitakka,Vitakka
Vitakka,Vitakka
Viveka,Viveka
vyāpāda,Vyāpāda
Vyāpāda,Vyāpāda
yaṃ,yaṃ
yasmā,yasmā
